,date,ron95,ron97,diesel,ron95_skps,series_type,ron95_budi95,diesel_eastmsia
410,2017-11-23,2.3,2.58,2.23,,level,,2.23
411,2017-11-16,2.38,2.66,2.25,,level,,2.25
412,2017-11-09,2.31,2.6,2.2,,level,,2.2
413,2017-11-02,2.24,2.54,2.17,,level,,2.17
414,2017-10-26,2.2,2.5,2.13,,level,,2.13
415,2017-10-19,2.17,2.47,2.11,,level,,2.11
416,2017-10-12,2.16,2.46,2.1,,level,,2.1
417,2017-10-05,2.19,2.49,2.17,,level,,2.17
418,2017-09-28,2.16,2.46,2.12,,level,,2.12
419,2017-09-21,2.19,2.49,2.1,,level,,2.1
420,2017-09-14,2.21,2.52,2.14,,level,,2.14
421,2017-09-07,2.2,2.48,2.05,,level,,2.05
422,2017-08-31,2.16,2.44,2.04,,level,,2.04
423,2017-08-24,2.15,2.43,2.01,,level,,2.01
424,2017-08-17,2.15,2.43,2.04,,level,,2.04
425,2017-08-10,2.12,2.39,2.06,,level,,2.06
426,2017-08-03,2.07,2.32,2.05,,level,,2.05
427,2017-07-27,2.03,2.28,1.99,,level,,1.99
428,2017-07-20,1.97,2.22,1.96,,level,,1.96
429,2017-07-13,1.97,2.22,1.96,,level,,1.96
430,2017-07-06,1.93,2.19,1.91,,level,,1.91
431,2017-06-29,1.89,2.15,1.84,,level,,1.84
432,2017-06-22,1.91,2.17,1.88,,level,,1.88
433,2017-06-15,1.98,2.24,1.88,,level,,1.88
434,2017-06-08,2.05,2.31,1.94,,level,,1.94
435,2017-06-01,2.1,2.38,2.02,,level,,2.02
436,2017-05-25,2.12,2.4,2.03,,level,,2.03
437,2017-05-18,2.08,2.36,1.99,,level,,1.99
438,2017-05-11,2.01,2.29,1.95,,level,,1.95
439,2017-05-04,2.11,2.39,2.08,,level,,2.08
440,2017-04-27,2.21,2.49,2.14,,level,,2.14
441,2017-04-20,2.27,2.54,2.21,,level,,2.21
442,2017-04-13,2.24,2.52,2.16,,level,,2.16
443,2017-04-06,2.16,2.43,2.08,,level,,2.08
444,2017-03-30,2.13,2.41,2.11,,level,,2.11
445,2026-01-22,0.020000000000000018,0.020000000000000018,0.040000000000000036,0.0,change_weekly,0.0,0.0
