Date,USD
30/06/2021,4.1543
29/06/2021,4.1475
28/06/2021,4.151
25/06/2021,4.158
24/06/2021,4.166
23/06/2021,4.1645
22/06/2021,4.148
21/06/2021,4.15
18/06/2021,4.142
17/06/2021,4.1325
16/06/2021,4.1195
15/06/2021,4.116
14/06/2021,4.116
11/6/2021,4.114
10/6/2021,4.1163
9/6/2021,4.1175
8/6/2021,4.121
4/6/2021,4.1275
3/6/2021,4.1225
2/6/2021,4.126
1/6/2021,4.1205
31/05/2021,4.138
28/05/2021,4.137
27/05/2021,4.1435
25/05/2021,4.1425
24/05/2021,4.1405
21/05/2021,4.143
20/05/2021,4.139
19/05/2021,4.127
18/05/2021,4.1263
17/05/2021,4.134
12/5/2021,4.131
11/5/2021,4.1158
10/5/2021,4.1055
7/5/2021,4.1165
6/5/2021,4.1245
5/5/2021,4.117
4/5/2021,4.1125
3/5/2021,4.102
30/04/2021,4.1045
28/04/2021,4.1025
27/04/2021,4.0985
26/04/2021,4.1035
23/04/2021,4.1115
22/04/2021,4.11
21/04/2021,4.116
20/04/2021,4.116
19/04/2021,4.1295
16/04/2021,4.127
15/04/2021,4.128
14/04/2021,4.1295
13/04/2021,4.134
12/4/2021,4.137
9/4/2021,4.1355
8/4/2021,4.1385
7/4/2021,4.128
6/4/2021,4.1325
5/4/2021,4.141
2/4/2021,4.1375
1/4/2021,4.1465
31/03/2021,4.159
30/03/2021,4.1465
29/03/2021,4.1455
26/03/2021,4.1465
25/03/2021,4.1395
24/03/2021,4.1275
23/03/2021,4.116
22/03/2021,4.1095
19/03/2021,4.1165
18/03/2021,4.1075
17/03/2021,4.1185
16/03/2021,4.114
15/03/2021,4.117
12/3/2021,4.117
11/3/2021,4.1125
10/3/2021,4.1285
9/3/2021,4.126
8/3/2021,4.09
5/3/2021,4.0675
4/3/2021,4.0555
3/3/2021,4.0495
2/3/2021,4.054
1/3/2021,4.0535
26/02/2021,4.0495
25/02/2021,4.04
24/02/2021,4.039
23/02/2021,4.042
